x,y,Frequency,Duration,Severity,Peak
10.75,43.25,11,7.8,-131.9,-2.8
11,43.25,10,8.8,-135.29999999999998,-3
11.25,43.25,11,7.9,-135.5,-3
11.5,43.25,12,8.4,-152.9,-2.8
11.75,43.25,12,8.1,-151.9,-2.9
12,43.25,12,9.1,-167.7,-2.8
12.25,43.25,11,8.5,-147.8,-2.7
12.5,43.25,10,8.4,-137.5,-2.9
12.75,43.25,11,7.8,-140.4,-3.3
13,43.25,10,6.4,-102.7,-2.7
13.25,43.25,10,7,-111,-2.5
13.5,43.25,13,6.8,-132,-2.4
13.75,43.25,11,6.8,-121,-2.8
14,43.25,11,6.8,-120.4,-3
14.25,43.25,9,7.8,-112,-2.8
14.5,43.25,8,8.6,-110.1,-2.8
