id_i;Mean_Distance_km;Nodo;dominant_outward_orientation_1;dominant_outward_orientation_2;dominant_outward_orientation_3;dominant_inward_orientation_1;dominant_inward_orientation_2;dist_dominant_outward_1;dist_dominant_outward_2;dist_dominant_outward_3;InStrength;OutStrength;NetworkDivergence;id;lat;lon;normal_InStrength;normal_OutStrength;DegreeCentrality;Clustering;ClosenessCentrality;BetweennessCentrality;StructuralHolesConstraint;global_clustering;normal_Degree;normal_Clustering;normal_ClosenessCentrality;normal_BetweennessCentrality;normal_StructuralHolesConstraint;geometry;index_right;AREA;PERIMETER;BASINNAME;BASINCODE;OCEAN_1;BASINNAME2;SHAPE_Leng;SHAPE_Le_1;SHAPE_Area;community
1066;330,0919836;1066;180;;;135;;4,7031484;;;0,000154273;0,00121876;0,001064486;1066;44,75;11;0,027972028;0,2051948;0,057742782;0,23092999;0,449292453;0,001895477;0,015231567;0,293214218;0,20763724;0,346395;0,7124607;0,07743001;0,008969127;POINT (11 44.75);53;2430,906284;402091,1148;Po;510;Mediterranean Sea;;402091,1148;402091,1148;2430906284;2
1067;258,1644794;1067;180;;;135;;5,3360314;;;0,001712434;0,000138846;-0,001573588;1067;44,75;11,25;0,3104895;0,023376623;0,062992126;0,217324561;0,441611127;0,001548693;0,016594903;0,293214218;0,22673032;0,32598683;0,6834848;0,063263915;0,010341133;POINT (11.25 44.75);53;2430,906284;402091,1148;Po;510;Mediterranean Sea;;402091,1148;402091,1148;2430906284;2
1127;272,0015616;1127;180;;;135;;3,8395922;;;0,000323974;0,000617093;0,000293119;1127;44,5;11;0,05874126;0,103896104;0,051181102;0,302364302;0,428571429;0,000764876;0,020817732;0,293214218;0,18377088;0,45354646;0,6342957;0,031245096;0,014590816;POINT (11 44.5);53;2430,906284;402091,1148;Po;510;Mediterranean Sea;;402091,1148;402091,1148;2430906284;2
1187;152,5973473;1187;0;;;135;;5,8657827;;;0,000624807;0,000385683;-0,000239124;1187;44,25;10,75;0,11328671;0,064935066;0,066272966;0,233069307;0,454653938;0,001036687;0,014634557;0,293214218;0,23866348;0,34960395;0,73268557;0,04234852;0,008368321;POINT (10.75 44.25);53;2430,906284;402091,1148;Po;510;Mediterranean Sea;;402091,1148;402091,1148;2430906284;2
1051;163,3700649;1051;0;;;0;;4,746944;;;0,000424252;0,000555384;0,000131132;1051;44,75;7,25;0,07692308;0,09350649;0,049868766;0,255087719;0,421576763;0,000604165;0,020942671;0,293214218;0,1789976;0,38263157;0,60791004;0,024680054;0,01471655;POINT (7.25 44.75);16;686,5944645;145245,8669;Po;510;Mediterranean Sea;;145245,8669;145245,8669;686594464,5;1
1052;168,2203128;1052;0;;;0;;4,57562;;;0,000323974;0,000239124;-8,48504E-05;1052;44,75;7,5;0,05874126;0,04025974;0,038713911;0,309175921;0,399685287;0,000259883;0,026669445;0,293214218;0,13842481;0,4637639;0,5253298;0,010616186;0,020479742;POINT (7.5 44.75);16;686,5944645;145245,8669;Po;510;Mediterranean Sea;;145245,8669;145245,8669;686594464,5;1
1056;264,5143248;1056;90;;;90;;1,1140722;;;0,000470534;0,000115705;-0,000354829;1056;44,75;8,5;0,08531468;0,019480519;0,067585302;0,234723015;0,431361449;0,001516491;0,017905166;0,293214218;0,24343675;0,35208452;0,6448204;0,061948474;0,011659728;POINT (8.5 44.75);27;2630,061099;327649,698;Po;510;Mediterranean Sea;;327649,698;327649,698;2630061099;1
1057;229,2107697;1057;135;;;0;;2,992085;;;7,71367E-05;0,00084079;0,000763653;1057;44,75;8,75;0,013986014;0,14155844;0,019028871;0,189655172;0,377134373;0,000118177;0,039887489;0,293214218;0,06682578;0,28448275;0,44026205;0,004827495;0,03378184;POINT (8.75 44.75);27;2630,061099;327649,698;Po;510;Mediterranean Sea;;327649,698;327649,698;2630061099;2
1116;176,3640966;1116;0;;;135;;3,3686492;;;0,000709658;0,000138846;-0,000570811;1116;44,5;8,25;0,12867133;0,023376623;0,049868766;0,224912281;0,408907969;0,000823726;0,020901582;0,293214218;0,1789976;0,33736843;0,56012017;0,03364912;0,014675199;POINT (8.25 44.5);27;2630,061099;327649,698;Po;510;Mediterranean Sea;;327649,698;327649,698;2630061099;1
1117;170,3851823;1117;0;;;135;;2,9693909;;;0,000995063;2,3141E-05;-0,000971922;1117;44,5;8,5;0,18041958;0,003896104;0,040682415;0,279746166;0,394002068;0,000373411;0,02663665;0,293214218;0,14558473;0,41961926;0,5038913;0,015253778;0,020446738;POINT (8.5 44.5);27;2630,061099;327649,698;Po;510;Mediterranean Sea;;327649,698;327649,698;2630061099;1
